,date,sentiment
297,2007-10-25,-0.691
298,2007-10-26,0.053
299,2007-10-27,0.572
300,2007-10-28,0.263
301,2007-10-29,0.172
302,2007-10-30,0.24
303,2007-10-31,0.349
304,2007-11-01,-0.591
305,2007-11-02,0.0
306,2007-11-03,0.0
307,2007-11-04,0.0
308,2007-11-05,-0.411
309,2007-11-06,0.421
310,2007-11-07,0.084
311,2007-11-08,0.281
312,2007-11-09,-0.092
313,2007-11-10,-0.735
314,2007-11-11,0.0
315,2007-11-12,-0.102
316,2007-11-13,0.15
317,2007-11-14,0.284
318,2007-11-15,-0.216
319,2007-11-16,-0.718
320,2007-11-17,0.0
321,2007-11-18,0.105
322,2007-11-19,0.511
323,2007-11-20,0.449
324,2007-11-21,0.013
325,2007-11-22,0.04
326,2007-11-23,-0.67
327,2007-11-24,0.121
328,2007-11-25,0.36
329,2007-11-26,0.146
330,2007-11-27,0.473
331,2007-11-28,0.088
332,2007-11-29,0.469
333,2007-11-30,0.404
334,2007-12-01,-0.226
335,2007-12-02,0.103
336,2007-12-03,0.005
337,2007-12-04,-0.109
338,2007-12-05,0.232
339,2007-12-06,0.404
340,2007-12-07,-0.586
341,2007-12-08,0.836
342,2007-12-09,0.432
343,2007-12-10,0.378
344,2007-12-11,0.088
345,2007-12-12,0.031
346,2007-12-13,0.266
347,2007-12-14,0.351
348,2007-12-15,0.296
349,2007-12-16,0.122
350,2007-12-17,0.396
351,2007-12-18,0.051
352,2007-12-19,0.184
353,2007-12-20,0.054
354,2007-12-21,0.0
355,2007-12-22,0.0
356,2007-12-23,0.0
357,2007-12-24,0.0
358,2007-12-25,-0.34
359,2007-12-26,0.0
360,2007-12-27,-0.135
361,2007-12-28,0.511
362,2007-12-29,0.0
363,2007-12-30,-0.67
364,2007-12-31,-0.226
365,2008-01-01,-0.844
366,2008-01-02,0.014
367,2008-01-03,0.233
368,2008-01-04,0.132
369,2008-01-05,-0.128
370,2008-01-06,0.436
371,2008-01-07,-0.013
372,2008-01-08,0.21
373,2008-01-09,0.042
374,2008-01-10,0.377
375,2008-01-11,0.25
376,2008-01-12,0.584
377,2008-01-13,0.318
378,2008-01-14,0.085
379,2008-01-15,0.298
380,2008-01-16,-0.36
381,2008-01-17,-0.336
382,2008-01-18,0.349
383,2008-01-19,-0.572
384,2008-01-20,-0.101
385,2008-01-21,-0.041
386,2008-01-22,0.083
387,2008-01-23,-0.164
388,2008-01-24,0.256
389,2008-01-25,0.474
390,2008-01-26,0.296
391,2008-01-27,-0.152
392,2008-01-28,0.164
393,2008-01-29,0.191
394,2008-01-30,0.22
395,2008-01-31,0.407
396,2008-02-01,-0.009
397,2008-02-02,0.822
398,2008-02-03,0.612
399,2008-02-04,0.186
400,2008-02-05,0.077
401,2008-02-06,0.44
402,2008-02-07,-0.065
403,2008-02-08,0.625
404,2008-02-09,-0.454
405,2008-02-10,0.469
406,2008-02-11,0.329
407,2008-02-12,0.301
408,2008-02-13,0.148
409,2008-02-14,0.177
410,2008-02-15,-0.01
411,2008-02-16,0.395
412,2008-02-17,0.397
413,2008-02-18,0.348
414,2008-02-19,0.076
415,2008-02-20,0.286
416,2008-02-21,0.228
417,2008-02-22,0.44
418,2008-02-23,0.0
419,2008-02-24,0.474
420,2008-02-25,0.377
421,2008-02-26,0.204
422,2008-02-27,0.274
423,2008-02-28,0.397
424,2008-02-29,0.005
425,2008-03-01,0.572
426,2008-03-02,-0.011
427,2008-03-03,0.37
428,2008-03-04,0.495
429,2008-03-05,0.226
430,2008-03-06,0.077
431,2008-03-07,0.02
432,2008-03-08,0.406
433,2008-03-09,-0.231
434,2008-03-10,0.151
435,2008-03-11,-0.058
436,2008-03-12,0.018
437,2008-03-13,-0.35
438,2008-03-14,-0.203
439,2008-03-15,-0.226
440,2008-03-16,0.018
441,2008-03-17,0.005
442,2008-03-18,0.075
443,2008-03-19,0.372
444,2008-03-20,-0.091
445,2008-03-21,0.431
446,2008-03-22,0.0
447,2008-03-23,0.0
448,2008-03-24,0.431
449,2008-03-25,0.17
450,2008-03-26,0.599
451,2008-03-27,0.381
452,2008-03-28,-0.273
453,2008-03-29,-0.273
454,2008-03-30,0.296
455,2008-03-31,0.214
456,2008-04-01,-0.147
457,2008-04-02,0.061
458,2008-04-03,-0.018
459,2008-04-04,-0.221
460,2008-04-05,-0.5
461,2008-04-06,0.07
462,2008-04-07,0.0
463,2008-04-08,-0.191
464,2008-04-09,0.038
465,2008-04-10,0.029
466,2008-04-11,-0.112
467,2008-04-12,0.0
468,2008-04-13,-0.078
469,2008-04-14,-0.085
470,2008-04-15,0.052
471,2008-04-16,0.127
472,2008-04-17,0.473
473,2008-04-18,0.34
474,2008-04-19,0.178
475,2008-04-20,0.265
476,2008-04-21,0.227
477,2008-04-22,0.197
478,2008-04-23,-0.071
479,2008-04-24,-0.061
480,2008-04-25,0.0
481,2008-04-26,0.0
482,2008-04-27,0.18
483,2008-04-28,0.351
484,2008-04-29,0.088
485,2008-04-30,0.197
486,2008-05-01,-0.031
487,2008-05-02,0.0
488,2008-05-03,0.0
489,2008-05-04,0.44
490,2008-05-05,0.237
491,2008-05-06,0.153
492,2008-05-07,-0.253
493,2008-05-08,0.241
494,2008-05-09,0.444
495,2008-05-10,0.45
496,2008-05-11,0.082
497,2008-05-12,-0.174
498,2008-05-13,0.224
499,2008-05-14,0.281
500,2008-05-15,0.189
501,2008-05-16,-0.205
502,2008-05-17,0.0
503,2008-05-18,0.321
504,2008-05-19,0.421
505,2008-05-20,-0.052
506,2008-05-21,-0.085
507,2008-05-22,0.19
508,2008-05-23,-0.011
509,2008-05-24,0.0
510,2008-05-25,-0.388
511,2008-05-26,0.055
512,2008-05-27,0.168
513,2008-05-28,0.028
514,2008-05-29,0.148
515,2008-05-30,-0.262
516,2008-05-31,-0.44
517,2008-06-01,-0.069
518,2008-06-02,0.288
519,2008-06-03,-0.075
520,2008-06-04,-0.175
521,2008-06-05,0.189
522,2008-06-06,0.0
523,2008-06-07,0.0
524,2008-06-08,-0.273
525,2008-06-09,0.258
526,2008-06-10,0.459
527,2008-06-11,-0.296
528,2008-06-12,-0.382
529,2008-06-13,0.151
530,2008-06-14,0.402
531,2008-06-15,0.0
532,2008-06-16,-0.035
533,2008-06-17,0.111
534,2008-06-18,0.065
535,2008-06-19,-0.048
536,2008-06-20,-0.049
537,2008-06-21,0.0
538,2008-06-22,-0.063
539,2008-06-23,0.009
540,2008-06-24,0.081
541,2008-06-25,0.072
542,2008-06-26,0.077
543,2008-06-27,0.069
544,2008-06-28,0.0
545,2008-06-29,0.0
546,2008-06-30,-0.508
547,2008-07-01,0.243
548,2008-07-02,-0.061
549,2008-07-03,-0.496
550,2008-07-04,0.085
551,2008-07-05,-0.081
552,2008-07-06,-0.397
553,2008-07-07,-0.218
554,2008-07-08,0.006
555,2008-07-09,0.157
556,2008-07-10,0.113
557,2008-07-11,0.382
558,2008-07-12,-0.225
559,2008-07-13,-0.249
560,2008-07-14,0.331
561,2008-07-15,0.235
562,2008-07-16,-0.18
563,2008-07-17,0.177
